Datetime,month,day,hour,minute,day_of_week,is_weekend,temp_dry,cloudiness,humidity,wind_speed,solar_generation,consumption_total,energy_source,consumption_grid,consumption_solar,consumption_battery,battery_level,lag_24h,rolling_24h
2025-02-19 00:00:00,2,19,0,0,2,0,10.993428306022466,60.85332517030365,53.70685463482111,2.3579159652235733,0.0,3.0703235867845278,grid,3.0703235867845278,0.0,0.0,70.0,,
2025-02-19 00:10:00,2,19,0,10,2,0,9.723471397657631,42.89493481426502,76.02453783574146,5.29973404815559,0.0,3.7443333830398413,grid,3.7443333830398413,0.0,0.0,70.0,,
2025-02-19 00:20:00,2,19,0,20,2,0,11.295377076201385,71.58374446719682,53.54729636519529,7.782622566326806,0.0,3.950157039361617,grid,3.950157039361617,0.0,0.0,70.0,,
2025-02-19 00:30:00,2,19,0,30,2,0,13.046059712816051,50.518450703337855,31.86304364813037,5.299865771298357,0.0,3.2972478192809263,grid,3.2972478192809263,0.0,0.0,70.0,,
2025-02-19 00:40:00,2,19,0,40,2,0,9.531693250553328,0.0,50.69892235937288,3.5793821737434754,0.0,2.3752298225650588,grid,2.3752298225650588,0.0,0.0,70.0,,
2025-02-19 00:50:00,2,19,0,50,2,0,9.531726086101639,0.0,72.54217329661793,1.8982167153365173,0.0,2.6761773414127408,grid,2.6761773414127408,0.0,0.0,70.0,,
2025-02-19 01:00:00,2,19,1,0,2,0,15.74661608203999,32.239217074816025,54.85513749923306,4.909201374078622,0.0,3.934705185054526,grid,3.934705185054526,0.0,0.0,70.0,,
2025-02-19 01:10:00,2,19,1,10,2,0,14.123059909331024,61.32248606234522,68.37043898913996,2.8315099815042295,0.0,2.561813308136003,grid,2.561813308136003,0.0,0.0,70.0,,
2025-02-19 01:20:00,2,19,1,20,2,0,11.649241679155303,37.69180272500975,38.585313129103504,2.9151090258763883,0.0,3.7934735241211324,grid,3.7934735241211324,0.0,0.0,70.0,,
2025-02-19 01:30:00,2,19,1,30,2,0,13.673310538197137,62.30332039893261,36.100172707484475,0.0,0.0,1.8380779514359398,grid,1.8380779514359398,0.0,0.0,70.0,,
2025-02-19 01:40:00,2,19,1,40,2,0,11.661355065400283,33.44811188824028,47.73088311742273,5.780111014487575,0.0,2.6226961889849507,grid,2.6226961889849507,0.0,0.0,70.0,,
2025-02-19 01:50:00,2,19,1,50,2,0,11.656730943884694,100.0,65.17198645879081,1.9285172010906924,0.0,1.8474952391069952,grid,1.8474952391069952,0.0,0.0,70.0,,
